constellation_id,constellation_name,cron_datetime,region_id,region_name,security_class,security_status,solarsystem_name,star_id,stargates,system_id,write_recipt,x,y,z
20000085,5Y1E-3,2017-11-10T01:06:49.678568,10000006,Wicked Creek,I1,-0.3269291818141937,TP7-KE,40036760,"[30000589, 30000716, 30000558, 30000587]",30000588,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,1.1057459117568458e+17,2.4319602170458916e+16,-1.529495121841673e+17
20000345,8AO-5V,2017-11-10T01:06:49.678568,10000027,Etherium Reach,K3,-0.08368802815675735,ZS-PNI,40149604,"[30002351, 30002354]",30002352,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,9.749793125586714e+16,5.8004519421097384e+16,4.780560684769484e+16
20000345,8AO-5V,2017-11-10T01:06:49.678568,10000027,Etherium Reach,K4,-0.026998870074748993,O-LJOO,40149558,"[30002352, 30002353, 30002350]",30002351,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,1.0064054039112989e+17,6.624106958811784e+16,5.41955422169908e+16
20000080,DJ-XCW,2017-11-10T01:06:49.678568,10000006,Wicked Creek,I1,-0.26676440238952637,U104-3,40034637,"[30000556, 30000552]",30000555,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,1.0310771173160635e+17,-1.253262513705335e+16,-1.4995050098735152e+17
20000338,PGPJ-8,2017-11-10T01:06:49.678568,10000027,Etherium Reach,K1,-0.0335501953959465,N06Z-Q,40147006,"[30001091, 30002307, 30002310, 30001092, 30002302]",30002309,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,1.797159795498172e+17,8.728983142800013e+16,3.4519645153115596e+16
20000154,4R-HUN,2017-11-10T01:06:49.678568,10000013,Malpais,K,-0.08280963450670242,VW-PXL,40067107,"[30001056, 30001052, 30001051]",30001054,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,1.7610966214856566e+17,8.764931763047283e+16,5.998545832023432e+16
20000469,F-W6B4,2017-11-10T01:06:49.678568,10000040,Oasa,K6,-0.6690599918365479,1EO-OE,40203711,"[30003210, 30003214, 30003212, 30003215]",30003211,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,2.3648496249720154e+17,5.105451047979889e+16,1.054721008190513e+17
20000086,760-9C,2017-11-10T01:06:49.678568,10000006,Wicked Creek,I3,-0.45811891555786133,GRHS-B,40037004,"[30000559, 30000594, 30000595]",30000593,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,8.821750526907701e+16,-7064556177221047.0,-1.5794034059544042e+17
20000345,8AO-5V,2017-11-10T01:06:49.678568,10000027,Etherium Reach,K4,-0.06825336068868637,43-1TL,40149538,"[30002351, 30002314]",30002350,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,1.0494599193212957e+17,6.700427088561507e+16,4.601602517424777e+16
20000080,DJ-XCW,2017-11-10T01:06:49.678568,10000006,Wicked Creek,I2,-0.420425683259964,5E-CMA,40034621,"[30000681, 30000680, 30000553, 30000610, 30000552]",30000554,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,9.986468924236786e+16,2671196912411674.0,-1.3807616757309738e+17
20000089,BVA-YH,2017-11-10T01:06:49.678568,10000007,Cache,F,-0.06338869780302048,D-6H64,40038410,"[30000616, 30000614]",30000613,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,2.2352621782702294e+17,1.296946275801867e+16,-1.1396681750657248e+17
20000128,E3-NLE,2017-11-10T01:06:49.678568,10000010,Tribute,H1,-0.2547234892845154,L-1HKR,40055807,[30000875],30000874,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,-1.4431789227235853e+17,1.0636301785741438e+17,2.0794847158697693e+17
20000147,Tranquility,2017-11-10T01:06:49.678568,10000012,Curse,I,-0.15936069190502167,OSY-UD,40063891,"[30001001, 30001002]",30001005,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,4.7009726732998264e+16,-2.2847771410778196e+16,-1.6243414166363283e+17
20000080,DJ-XCW,2017-11-10T01:06:49.678568,10000006,Wicked Creek,I3,-0.4867313802242279,GGE-5Q,40034555,"[30000554, 30000562]",30000553,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,9.764997483363451e+16,9213190198726726.0,-1.407116484392147e+17
20000085,5Y1E-3,2017-11-10T01:06:49.678568,10000006,Wicked Creek,I,-0.1960289627313614,A-4JOO,40036745,"[30000590, 30000588]",30000587,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,1.21842788120823e+17,1.904244216574017e+16,-1.5603066972949398e+17
20000386,Disier,2017-11-10T01:06:49.678568,10000032,Sinq Laison,B,0.8177613615989685,Pettinck,40167705,"[30002639, 30002633, 30004967, 30002709]",30002632,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,-1.8461197844000816e+17,5.970087428026063e+16,3.9059106378251864e+16
20000457,R2-BT6,2017-11-10T01:06:49.678568,10000039,Esoteria,G,-0.2457476556301117,V-XANH,40198825,"[30003132, 30003126]",30003130,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,-8.810788116567061e+16,1.6083230366063094e+16,-4.1879629877126605e+17
20000170,N-OGI1,2017-11-10T01:06:49.678568,10000014,Catch,I,-0.13882726430892944,9-8GBA,40074070,"[30001167, 30002118, 30001164]",30001166,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,-4.057839816749929e+16,-1.1830837751671802e+16,-1.9865214749346925e+17
20000159,E6EO-H,2017-11-10T01:06:49.678568,10000013,Malpais,K7,-0.7722064256668091,S-R9J2,40069491,"[30001090, 30001089, 30001084]",30001088,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,1.398402173726966e+17,5.550133868548516e+16,1.1557195245053947e+17
20000344,SLYP-5,2017-11-10T01:06:49.678568,10000027,Etherium Reach,K7,-0.6845394372940063,E8-432,40149521,"[30002346, 30002347]",30002349,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,1.8648084833397552e+17,4.5455438546016696e+16,2.5019831179490784e+16
20000148,Paradise,2017-11-10T01:06:49.678568,10000012,Curse,I,-0.15988190472126007,0SHT-A,40064238,"[30001155, 30001010, 30001008, 30001007]",30001009,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,1.822693103889874e+16,-6277793958979665.0,-1.656190304929878e+17
20000080,DJ-XCW,2017-11-10T01:06:49.678568,10000006,Wicked Creek,I1,-0.25469717383384705,GPLB-C,40034483,"[30000554, 30000557, 30000774, 30000555]",30000552,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,1.1187549918477381e+17,-4427459566391882.0,-1.445511037404586e+17
20000321,IJE6-J,2017-11-10T01:06:49.678568,10000025,Immensea,I5,-0.7225184440612793,QN-6J2,40139275,[30002184],30002186,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,7.88723686175867e+16,-1.7813654851733168e+16,-2.497470292121875e+17
20000087,4-QV2L,2017-11-10T01:06:49.678568,10000006,Wicked Creek,I2,-0.4095743000507355,WRL4-2,40037630,"[30000603, 30000599]",30000602,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,7.1814484705572664e+16,2.7365204451791844e+16,-1.7590910028586384e+17
20000458,3WN-1T,2017-11-10T01:06:49.678568,10000039,Esoteria,G5,-0.6787484884262085,E1UU-3,40199090,"[30003135, 30003138]",30003136,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,-9.072321167807445e+16,1.0154072170956692e+16,-4.2762811270215226e+17
20000431,RFY-QB,2017-11-10T01:06:49.678568,10000035,Deklein,H4,-0.6386478543281555,MZ1E-P,40186664,"[30002938, 30002942]",30002940,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,-3.3230530140272186e+17,9.786881387126877e+16,3.337213732081104e+17
20000467,0PS-L5,2017-11-10T01:06:49.678568,10000040,Oasa,K2,-0.21521413326263428,GTQ-C9,40202899,"[30003201, 30003198, 30003200]",30003199,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,2.3352264716158448e+17,3.914642785456365e+16,1.5278127622663418e+17
20000357,UBPU-9,2017-11-10T01:06:49.678568,10000029,Geminate,H,-0.07161115109920502,YN3-E3,40154697,"[30002433, 30002493, 30002434, 30002430]",30002432,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,-3.336533666855179e+16,4.7487591845503016e+16,1.1195082575321869e+17
20000200,Haurala,2017-11-10T01:06:49.678568,10000016,Lonetrek,C,0.4532327353954315,Raussinen,40087542,[30001369],30001373,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,-1.7194300453666614e+17,6.833084170033183e+16,1.4119338829260011e+17
20000431,RFY-QB,2017-11-10T01:06:49.678568,10000035,Deklein,H3,-0.5268157720565796,WUZ-WM,40186554,"[30002938, 30002944, 30002941]",30002939,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,-3.337527721528998e+17,8.39736725953722e+16,3.1874325264298157e+17
20000170,N-OGI1,2017-11-10T01:06:49.678568,10000014,Catch,I,-0.0465950146317482,QBQ-RF,40074044,"[30001167, 30001163]",30001165,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,-5.713661838824601e+16,-1.1275983751842038e+16,-2.07236830838363e+17
20000159,E6EO-H,2017-11-10T01:06:49.678568,10000013,Malpais,K2,-0.1786084920167923,F-WZYG,40069390,"[30001086, 30001083, 30001130]",30001087,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,1.5694730115151107e+17,8.337821800734205e+16,1.1154909141140984e+17
20000321,IJE6-J,2017-11-10T01:06:49.678568,10000025,Immensea,I3,-0.49374786019325256,NI-J0B,40139222,[30002181],30002185,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,5.449006181663057e+16,4620865832298887.0,-2.327742516971005e+17
20000431,RFY-QB,2017-11-10T01:06:49.678568,10000035,Deklein,H4,-0.5882097482681274,3T7-M8,40186469,"[30002945, 30002940, 30002936, 30002939]",30002938,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,-3.283904386074358e+17,9.56899050033075e+16,3.2796021126849926e+17
20000305,Ani,2017-11-10T01:06:49.678568,10000042,Metropolis,D1,0.5103382468223572,Inder,40132298,"[30002068, 30002073, 30002070]",30002072,6e33acf4-c5b3-11e7-8eb1-12217c227ed4,-1.3415787649621413e+17,5.288727718082051e+16,5.817858809950062e+16
